,Feature,Mean_Abs_SHAP,Direction_Gold
1,Energy & Atmosphere (EA),0.8180065,-
2,Indoor Env. Quality (EQ),0.7170131,-
3,Water Efficiency (WE),0.5996558,-
4,Location & Transportation (LT),0.43626902,+
5,Sustainable Sites (SS),0.2568882,+
6,LEED Version,0.24995404,-
7,Materials & Resources (MR),0.23440194,-
8,Floor Area (log sqm),0.163339,+
9,Integrative Process (IP),7.943994e-05,+
