,Certified,Silver,Gold,Platinum
ratio_LT,0.9534,0.5072,0.164,0.1534
ratio_SS,0.0985,0.2241,0.4445,0.1999
ratio_WE,1.1089,0.335,0.6874,0.2662
ratio_EA,0.7309,0.6809,1.2436,0.7919
ratio_MR,0.2177,0.1176,0.2381,0.1651
ratio_EQ,0.5655,0.3939,0.9283,0.7872
ratio_IP,0.0,0.001,0.0167,0.0042
log_area,0.0765,0.1768,0.0876,0.2921
version_ord,0.3255,0.416,0.2173,0.2343
